"No.","Time","Source","Destination","Protocol","Length","Info"
"16939","8499.295610","192.168.0.251","72.145.35.112","TLSv1.2","141","Application Data"
"16940","8499.295725","192.168.0.251","72.145.35.112","TLSv1.2","92","Application Data"
"16941","8499.295837","192.168.0.251","72.145.35.112","TLSv1.2","210","Application Data"
"16942","8499.296039","192.168.0.251","72.145.35.112","TLSv1.2","733","Application Data"
"16943","8499.344967","72.145.35.112","192.168.0.251","TCP","60","443  >  63345 [ACK] Seq=2553 Ack=466 Win=4194048 Len=0"
"16944","8499.345112","72.145.35.112","192.168.0.251","TLSv1.2","92","Application Data"
"16945","8499.345274","72.145.35.112","192.168.0.251","TCP","60","443  >  63345 [ACK] Seq=2591 Ack=660 Win=4193792 Len=0"
"16946","8499.389052","192.168.0.251","72.145.35.112","TCP","54","63345  >  443 [ACK] Seq=1339 Ack=2591 Win=65280 Len=0"
"16947","8499.391161","72.145.35.112","192.168.0.251","TCP","60","443  >  63345 [ACK] Seq=2591 Ack=1339 Win=4193280 Len=0"
"16948","8499.436486","72.145.35.112","192.168.0.251","TLSv1.2","523","Application Data"
"16949","8499.485990","192.168.0.251","72.145.35.112","TCP","54","63345  >  443 [ACK] Seq=1339 Ack=3060 Win=64768 Len=0"
"16950","8501.253678","fe80::ffff:ffff:fffe","ff02::2","ICMPv6","103","Router Solicitation"
"16951","8501.279648","fe80::8000:f227:eb36:27fb","fe80::ffff:ffff:fffe","ICMPv6","151","Router Advertisement"
"16952","8504.034368","2a02:8388:8640:7a80:7869:2d93:b272:cf93","2a02:8388:8640:7a80:10:18ff:fe7b:f764","ICMPv6","86","Neighbor Solicitation for 2a02:8388:8640:7a80:10:18ff:fe7b:f764 from c8:d9:d2:33:12:d3"
"16953","8504.034934","2a02:8388:8640:7a80:10:18ff:fe7b:f764","2a02:8388:8640:7a80:7869:2d93:b272:cf93","ICMPv6","78","Neighbor Advertisement 2a02:8388:8640:7a80:10:18ff:fe7b:f764 (rtr, sol)"
"16954","8504.459540","MS-NLB-PhysServer-16_18:7b:f7:64","HewlettPacka_33:12:d3","ARP","60","Who has 192.168.0.251? Tell 192.168.0.1"
"16955","8504.459576","HewlettPacka_33:12:d3","MS-NLB-PhysServer-16_18:7b:f7:64","ARP","42","192.168.0.251 is at c8:d9:d2:33:12:d3"
"16956","8504.459587","fe80::10:18ff:fe7b:f764","2a02:8388:8640:7a80:7869:2d93:b272:cf93","ICMPv6","86","Neighbor Solicitation for 2a02:8388:8640:7a80:7869:2d93:b272:cf93 from 02:10:18:7b:f7:64"
"16957","8504.459951","2a02:8388:8640:7a80:7869:2d93:b272:cf93","fe80::10:18ff:fe7b:f764","ICMPv6","86","Neighbor Advertisement 2a02:8388:8640:7a80:7869:2d93:b272:cf93 (sol, ovr) is at c8:d9:d2:33:12:d3"
"16958","8509.035322","fe80::1d2:b3b3:b3d5:978a","fe80::10:18ff:fe7b:f764","ICMPv6","86","Neighbor Solicitation for fe80::10:18ff:fe7b:f764 from c8:d9:d2:33:12:d3"
"16959","8509.035570","fe80::10:18ff:fe7b:f764","fe80::1d2:b3b3:b3d5:978a","ICMPv6","78","Neighbor Advertisement fe80::10:18ff:fe7b:f764 (rtr, sol)"
"16960","8514.187131","fe80::10:18ff:fe7b:f764","fe80::1d2:b3b3:b3d5:978a","ICMPv6","86","Neighbor Solicitation for fe80::1d2:b3b3:b3d5:978a from 02:10:18:7b:f7:64"
"16961","8514.187634","fe80::1d2:b3b3:b3d5:978a","fe80::10:18ff:fe7b:f764","ICMPv6","86","Neighbor Advertisement fe80::1d2:b3b3:b3d5:978a (sol, ovr) is at c8:d9:d2:33:12:d3"
"16962","8527.075706","fe80::ffff:ffff:fffe","ff02::2","ICMPv6","103","Router Solicitation"
"16963","8527.102752","fe80::8000:f227:eb36:27fb","fe80::ffff:ffff:fffe","ICMPv6","151","Router Advertisement"
